IP:PORT, LOSS, DELAY
162.159.195.122:939,0.00%,52 ms
162.159.195.152:945,0.00%,52 ms
162.159.192.109:945,0.00%,53 ms
162.159.192.200:945,0.00%,54 ms
162.159.195.87:945,0.00%,55 ms
162.159.192.184:945,0.00%,55 ms
162.159.192.226:945,0.00%,55 ms
162.159.195.14:945,0.00%,56 ms
162.159.195.53:945,0.00%,57 ms
162.159.195.14:939,0.00%,57 ms
162.159.195.166:939,0.00%,58 ms
162.159.195.159:939,0.00%,58 ms
162.159.192.83:939,0.00%,58 ms
162.159.192.86:939,0.00%,58 ms
162.159.192.86:945,0.00%,58 ms
162.159.195.152:939,0.00%,58 ms
162.159.195.87:939,0.00%,58 ms
162.159.195.168:939,0.00%,61 ms
162.159.195.90:939,0.00%,193 ms
162.159.192.131:945,0.00%,195 ms
162.159.192.37:945,0.00%,195 ms
162.159.192.62:945,0.00%,196 ms
162.159.192.245:945,0.00%,197 ms
188.114.99.196:945,0.00%,197 ms
162.159.192.37:939,0.00%,198 ms
162.159.195.53:939,0.00%,199 ms
162.159.192.161:939,0.00%,199 ms
188.114.99.196:939,0.00%,201 ms
162.159.195.122:945,0.00%,201 ms
188.114.99.118:945,0.00%,202 ms
188.114.98.169:939,0.00%,203 ms
188.114.99.146:939,0.00%,203 ms
188.114.99.76:939,0.00%,203 ms
188.114.99.86:945,0.00%,203 ms
162.159.192.62:939,0.00%,203 ms
188.114.98.82:939,0.00%,203 ms
188.114.98.224:945,0.00%,204 ms
188.114.99.76:945,0.00%,204 ms
188.114.98.94:945,0.00%,204 ms
162.159.195.240:945,0.00%,204 ms
188.114.97.82:945,0.00%,204 ms
188.114.96.9:945,0.00%,204 ms
188.114.97.6:939,0.00%,204 ms
188.114.97.6:945,0.00%,205 ms
188.114.97.86:939,0.00%,205 ms
162.159.192.109:939,0.00%,205 ms
162.159.192.161:945,0.00%,205 ms
162.159.192.94:939,0.00%,205 ms
188.114.96.93:939,0.00%,205 ms
188.114.96.241:945,0.00%,205 ms
188.114.97.86:945,0.00%,205 ms
188.114.96.204:945,0.00%,205 ms
188.114.96.93:945,0.00%,205 ms
188.114.99.118:939,0.00%,205 ms
188.114.97.125:945,0.00%,206 ms
162.159.195.129:939,0.00%,206 ms
188.114.96.128:939,0.00%,206 ms
188.114.97.31:945,0.00%,206 ms
162.159.195.10:939,0.00%,206 ms
188.114.99.53:939,0.00%,206 ms
188.114.96.9:939,0.00%,206 ms
188.114.97.142:939,0.00%,206 ms
188.114.98.177:939,0.00%,206 ms
188.114.99.6:939,0.00%,206 ms
188.114.99.215:945,0.00%,206 ms
188.114.98.146:939,0.00%,206 ms
162.159.192.83:945,0.00%,206 ms
188.114.97.249:939,0.00%,206 ms
188.114.97.82:939,0.00%,206 ms
188.114.96.99:945,0.00%,207 ms
188.114.99.146:945,0.00%,207 ms
188.114.98.145:945,0.00%,207 ms
188.114.98.146:945,0.00%,207 ms
188.114.98.76:945,0.00%,207 ms
162.159.192.142:945,0.00%,207 ms
188.114.98.129:939,0.00%,207 ms
188.114.96.230:945,0.00%,207 ms
162.159.192.142:939,0.00%,207 ms
188.114.97.142:945,0.00%,207 ms
188.114.96.99:939,0.00%,207 ms
188.114.96.235:945,0.00%,208 ms
188.114.98.177:945,0.00%,208 ms
188.114.97.88:945,0.00%,208 ms
188.114.97.249:945,0.00%,208 ms
188.114.96.204:939,0.00%,208 ms
188.114.96.125:945,0.00%,208 ms
188.114.97.217:945,0.00%,208 ms
188.114.98.28:945,0.00%,208 ms
188.114.96.155:939,0.00%,208 ms
162.159.195.159:945,0.00%,208 ms
188.114.98.66:939,0.00%,208 ms
162.159.195.90:945,0.00%,208 ms
162.159.192.184:939,0.00%,209 ms
162.159.195.168:945,0.00%,209 ms
188.114.98.76:939,0.00%,209 ms
188.114.99.31:945,0.00%,209 ms
188.114.96.63:939,0.00%,209 ms
188.114.96.194:945,0.00%,209 ms
162.159.195.129:945,0.00%,209 ms
188.114.99.53:945,0.00%,209 ms
162.159.195.133:939,0.00%,209 ms
188.114.97.31:939,0.00%,210 ms
188.114.97.28:939,0.00%,210 ms
188.114.96.194:939,0.00%,210 ms
188.114.98.94:939,0.00%,210 ms
162.159.195.112:939,0.00%,210 ms
188.114.99.6:945,0.00%,210 ms
188.114.99.241:945,0.00%,210 ms
188.114.99.180:939,0.00%,210 ms
188.114.96.128:945,0.00%,211 ms
162.159.195.10:945,0.00%,211 ms
188.114.97.125:939,0.00%,211 ms
188.114.96.125:939,0.00%,211 ms
188.114.97.167:945,0.00%,211 ms
188.114.99.241:939,0.00%,211 ms
188.114.97.88:939,0.00%,211 ms
188.114.98.28:939,0.00%,211 ms
188.114.96.116:945,0.00%,211 ms
188.114.99.34:939,0.00%,211 ms
188.114.97.114:945,0.00%,211 ms
188.114.96.63:945,0.00%,211 ms
188.114.99.215:939,0.00%,212 ms
188.114.98.82:945,0.00%,212 ms
188.114.96.116:939,0.00%,212 ms
188.114.96.230:939,0.00%,212 ms
162.159.195.112:945,0.00%,212 ms
162.159.195.133:945,0.00%,212 ms
188.114.97.64:945,0.00%,212 ms
188.114.98.129:945,0.00%,212 ms
188.114.97.232:939,0.00%,212 ms
188.114.97.232:945,0.00%,212 ms
188.114.96.92:945,0.00%,212 ms
188.114.97.242:945,0.00%,213 ms
188.114.98.113:945,0.00%,213 ms
188.114.98.188:945,0.00%,213 ms
188.114.97.114:939,0.00%,213 ms
188.114.96.155:945,0.00%,213 ms
188.114.96.241:939,0.00%,213 ms
188.114.96.92:939,0.00%,213 ms
188.114.99.194:945,0.00%,213 ms
188.114.96.235:939,0.00%,213 ms
188.114.98.66:945,0.00%,213 ms
188.114.98.113:939,0.00%,213 ms
188.114.97.167:939,0.00%,213 ms
162.159.195.25:939,0.00%,213 ms
188.114.99.163:945,0.00%,214 ms
188.114.98.169:945,0.00%,214 ms
188.114.98.188:939,0.00%,214 ms
188.114.97.64:939,0.00%,214 ms
188.114.97.217:939,0.00%,215 ms
188.114.97.242:939,0.00%,215 ms
188.114.99.163:939,0.00%,215 ms
188.114.99.194:939,0.00%,215 ms
188.114.98.145:939,0.00%,215 ms
188.114.97.28:945,0.00%,216 ms
162.159.192.226:939,0.00%,216 ms
162.159.192.200:939,0.00%,216 ms
188.114.99.86:939,0.00%,217 ms
162.159.192.94:945,0.00%,220 ms
162.159.195.25:945,0.00%,221 ms
162.159.195.166:945,0.00%,221 ms
188.114.99.31:939,0.00%,222 ms
162.159.192.131:939,0.00%,222 ms
188.114.99.180:945,0.00%,225 ms
162.159.192.245:939,0.00%,225 ms
188.114.99.34:945,0.00%,225 ms
188.114.98.224:939,0.00%,226 ms
162.159.195.240:939,0.00%,228 ms
162.159.193.135:939,100.00%,1000 ms
162.159.193.113:945,100.00%,1000 ms
162.159.193.132:939,100.00%,1000 ms
162.159.193.187:939,100.00%,1000 ms
162.159.193.128:945,100.00%,1000 ms
162.159.192.10:939,100.00%,1000 ms
162.159.193.182:945,100.00%,1000 ms
162.159.193.219:939,100.00%,1000 ms
162.159.192.10:945,100.00%,1000 ms
162.159.193.171:939,100.00%,1000 ms
162.159.193.184:939,100.00%,1000 ms
162.159.193.171:945,100.00%,1000 ms
162.159.193.182:939,100.00%,1000 ms
162.159.193.219:945,100.00%,1000 ms
162.159.193.184:945,100.00%,1000 ms
162.159.193.135:945,100.00%,1000 ms
162.159.193.102:939,100.00%,1000 ms
162.159.193.102:945,100.00%,1000 ms
162.159.193.32:945,100.00%,1000 ms
162.159.193.42:945,100.00%,1000 ms
162.159.193.251:939,100.00%,1000 ms
162.159.193.32:939,100.00%,1000 ms
162.159.193.29:939,100.00%,1000 ms
162.159.193.128:939,100.00%,1000 ms
